GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Closure Compiler Plugin,nl.geodienstencentrum.maven.plugin.closure.compiler,HelpMojo,893,0,110,0,159,0,71,0,16,0
Closure Compiler Plugin,nl.geodienstencentrum.maven.plugin.closure.compiler,CompilerOptionsMojo,818,0,0,0,320,0,161,0,161,0
Closure Compiler Plugin,nl.geodienstencentrum.maven.plugin.closure.compiler,Compilation,23,0,0,0,7,0,6,0,6,0
Closure Compiler Plugin,nl.geodienstencentrum.maven.plugin.closure.compiler,ClosureCompilerMojo,303,0,22,0,56,0,15,0,4,0
